repo,pr_number,pr_url,merged_at,title,files_top3,files_count,current_domain,true_domain,suggested_pattern,notes
vercel/next.js,93128,https://github.com/vercel/next.js/pull/93128,2026-04-24T09:08:09Z,[turbopack] Fix max_level_hint to return most verbose per-target level,turbopack/crates/turbopack-trace-utils/src/filter_layer.rs,1,general,turbopack,turbopack|turbo-tasks,
vercel/next.js,92831,https://github.com/vercel/next.js/pull/92831,2026-04-15T17:41:42Z,fix(trace-server): default MCP port to --port + 1 to avoid conflicts,packages/next/src/bin/next.ts; packages/next/src/cli/internal/turbo-trace-server.ts,2,general,cli,next/src/cli|trace-server,
vercel/next.js,92813,https://github.com/vercel/next.js/pull/92813,2026-04-15T09:47:23Z,Fix monorepo `@next/swc` binary postinstall,pnpm-workspace.yaml; scripts/install-native.mjs,2,general,monorepo,pnpm-workspace|postinstall,
vercel/next.js,92631,https://github.com/vercel/next.js/pull/92631,2026-04-10T21:46:29Z,Turbopack: fix filesystem watcher config not applying follow_symlinks(false),turbopack/crates/turbo-tasks-fs/src/watcher.rs,1,general,turbopack,turbopack|turbo-tasks-fs|watcher,
vercel/next.js,92588,https://github.com/vercel/next.js/pull/92588,2026-04-10T08:47:04Z,Fix NextFontIssue IssueStage: CodeGen → Resolve,crates/next-core/src/next_font/issue.rs,1,general,font,next_font|NextFontIssue,
vercel/next.js,92581,https://github.com/vercel/next.js/pull/92581,2026-04-09T20:15:04Z,[turbopack] fix a debug_assert failure,turbopack/crates/turbo-tasks-backend/src/backend/mod.rs; turbopack/crates/turbo-tasks-backend/src/backend/storage.rs; turbopack/crates/turbo-tasks-backend/src/backing_storage.rs,3,general,turbopack,turbopack|turbo-tasks-backend,
vercel/next.js,92569,https://github.com/vercel/next.js/pull/92569,2026-04-09T17:52:09Z,turbopack: fix incremental build when module factories are restored from persistent cache,turbopack/crates/turbopack-core/src/code_builder.rs; turbopack/crates/turbopack-ecmascript/src/chunk/item.rs,2,general,turbopack,turbopack|persistent cache|chunk,
vercel/next.js,92535,https://github.com/vercel/next.js/pull/92535,2026-04-08T20:08:54Z,Fix `minimumReleaseAgeExclude` for React and friends,pnpm-workspace.yaml,1,general,monorepo,pnpm-workspace|minimumReleaseAge,
vercel/next.js,92414,https://github.com/vercel/next.js/pull/92414,2026-04-07T16:22:36Z,Fix sst inspect tool to respect `CURRENT` and stale sst files,packages/next/src/cli/next-build.ts; turbopack/crates/turbo-persistence/src/bin/sst_inspect.rs; turbopack/crates/turbo-persistence/src/lib.rs,4,general,cli,next/src/cli|next-build,
vercel/next.js,92210,https://github.com/vercel/next.js/pull/92210,2026-04-01T20:25:04Z,Fix DashMap read-write self-deadlock in task_cache causing hangs,turbopack/crates/turbo-tasks-backend/src/backend/mod.rs,1,general,turbopack,turbopack|task_cache|deadlock,
