repo,pr_number,pr_url,merged_at,title,files_top3,files_count,current_domain,true_domain,suggested_pattern,notes
vuejs/core,14705,https://github.com/vuejs/core/pull/14705,2026-04-10T03:18:09Z,fix(runtime-vapor): tree-shake ssr runtime from defineVaporCustomElement,packages/runtime-vapor/src/apiDefineCustomElement.ts,1,general,,,
vuejs/core,14666,https://github.com/vuejs/core/pull/14666,2026-04-01T03:49:55Z,fix(runtime-vapor): Add a non-null check for parentComponent,packages/runtime-vapor/src/vdomInterop.ts,1,general,,,
vuejs/core,14641,https://github.com/vuejs/core/pull/14641,2026-04-03T02:31:00Z,fix(types): use private branding for shallowReactive,packages-private/dts-test/reactivity.test-d.ts; packages-private/dts-test/ref.test-d.ts; packages/reactivity/src/reactive.ts,4,general,,,
vuejs/core,14639,https://github.com/vuejs/core/pull/14639,2026-04-03T02:30:30Z,fix(types): allow customRef to have different getter/setter types,packages-private/dts-test/ref.test-d.ts; packages/reactivity/src/ref.ts,2,general,,,
vuejs/core,14493,https://github.com/vuejs/core/pull/14493,2026-03-25T09:06:27Z,fix(types): prevent shallowReactive marker from leaking into value unions,packages-private/dts-test/reactivity.test-d.ts; packages/reactivity/src/reactive.ts; packages/reactivity/src/ref.ts,3,general,,,
vuejs/core,14492,https://github.com/vuejs/core/pull/14492,2026-03-09T06:23:42Z,fix(types): narrow useAttrs class/style typing for TSX,packages-private/dts-test/tsx.test-d.tsx; packages/runtime-core/src/component.ts; packages/runtime-core/src/componentPublicInstance.ts,5,general,,,
vuejs/core,14470,https://github.com/vuejs/core/pull/14470,2026-02-25T01:06:47Z,fix(runtime-vapor): widen FunctionalVaporComponent props typing,packages/runtime-vapor/src/component.ts; packages/vue/jsx-runtime/index.d.ts,2,general,,,
vuejs/core,14267,https://github.com/vuejs/core/pull/14267,2026-01-04T01:09:51Z,fix(compiler-sfc): avoid duplicated unref import for vapor mode,packages/compiler-sfc/src/compileScript.ts,1,general,,,
vuejs/core,14184,https://github.com/vuejs/core/pull/14184,2025-12-09T13:39:06Z,fix(hmr): reset scope to avoid stale effects during hmr rerender,packages/reactivity/src/effectScope.ts; packages/runtime-core/src/hmr.ts; packages/runtime-vapor/src/component.ts,5,general,,,
vuejs/core,14133,https://github.com/vuejs/core/pull/14133,2025-11-24T13:01:18Z,fix(types): remove unused helpers property from CodegenResult interface,packages/compiler-core/src/codegen.ts,1,general,,,
vuejs/core,14123,https://github.com/vuejs/core/pull/14123,2025-11-20T14:11:41Z,fix(runtime-vapor): prevent fragment `updated` hooks from running before the fragment is mounted.,packages/runtime-vapor/src/apiCreateFor.ts; packages/runtime-vapor/src/fragment.ts; packages/runtime-vapor/src/vdomInterop.ts,3,general,,,
vuejs/core,14118,https://github.com/vuejs/core/pull/14118,2025-11-20T00:59:42Z,fix(runtime-core): keep options API typing intact when expose is used,packages-private/dts-test/defineComponent.test-d.tsx; packages/runtime-core/src/apiDefineComponent.ts; packages/runtime-core/src/componentOptions.ts,3,general,,,
vuejs/core,14000,https://github.com/vuejs/core/pull/14000,2025-10-21T00:31:36Z,fix(runtime-vapor): setting innerHTML should go through trusted types,packages/runtime-vapor/src/dom/prop.ts,1,general,,,
vuejs/core,13997,https://github.com/vuejs/core/pull/13997,2025-11-05T09:18:20Z,fix(runtime-core): pass props and children to loadingComponent,packages/runtime-core/src/apiAsyncComponent.ts,1,general,,,
vuejs/core,13982,https://github.com/vuejs/core/pull/13982,2025-11-05T09:12:23Z,fix(compiler): using guard instead of non-nullish assertion,packages/compiler-core/src/transforms/transformVBindShorthand.ts,1,general,,,
